City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Ambilobe,MG,82.99,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
339,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
348,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
354,Marsh Harbour,BS,80.69,clear sky,26.5412,-77.0636,Abaco Beach Resort
355,Sur,OM,85.08,clear sky,22.5667,59.5289,Sur Plaza Hotel
358,Samarai,PG,85.35,few clouds,-10.6167,150.6667,Nuli Sapi
364,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
374,Sambava,MG,75.74,clear sky,-14.2667,50.1667,Melrose
376,Jhol,PK,89.73,clear sky,25.9551,68.8882,وساڻ ھائوس جھول
378,Moindou,NC,81.66,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
383,Amahai,ID,86.63,moderate rain,-3.3333,128.9167,HOTEL ISABELA
388,Bawku,GH,76.12,broken clouds,11.0616,-0.2417,Ultimate Guest House
392,Noumea,NC,89.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
394,Mayumba,GA,76.41,light rain,-3.432,10.6554,LIKWALE LODGE
399,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
403,Bubaque,GW,82.71,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
404,Cairns,AU,85.95,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
405,Bowen,AU,83.05,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
420,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Hotel Stardust
427,Salina Cruz,MX,78.13,clear sky,16.1667,-95.2,Amerik HOTEL
436,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
437,Progreso,MX,81.1,light rain,21.2833,-89.6667,Playa Linda Hotel
438,Puerto Carreño,CO,78.51,light rain,6.189,-67.4859,Casa Hotel Victoria
440,Gorontalo,ID,84.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
443,Jérémie,HT,80.19,broken clouds,18.65,-74.1167,Auberge’Inn
444,‘Ewa Beach,US,79.09,clear sky,21.3156,-158.0072,Base Lodging
