City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Hong Kong,HK,22.2855,114.1577,70.03,89,100,13.0,overcast clouds
245,Lompoc,US,34.6391,-120.4579,54.79,93,20,14.97,few clouds
246,Bariloche,AR,-41.1456,-71.3082,54.45,43,0,1.83,clear sky
247,Hasaki,JP,35.7333,140.8333,73.22,59,1,7.58,clear sky
248,Rørvik,NO,64.8621,11.2373,51.91,66,20,6.91,few clouds
249,Christchurch,NZ,-43.5333,172.6333,75.4,38,97,11.5,light rain
250,Nanortalik,GL,60.1432,-45.2371,27.43,72,15,3.65,few clouds
251,Beaverlodge,CA,55.2166,-119.4361,14.63,86,13,7.56,few clouds
252,Camaçari,BR,-12.6975,-38.3242,78.57,97,77,2.71,broken clouds
253,Newport,GB,51.5877,-2.9984,52.34,86,0,18.57,clear sky
254,Tyrma,RU,50.0833,132.1667,25.25,58,100,11.48,overcast clouds
255,Chengde,CN,40.9725,117.9361,53.56,28,98,2.84,overcast clouds
256,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,72.54,99,100,5.14,overcast clouds
257,Hailar,CN,49.2,119.7,19.87,53,7,16.26,clear sky
258,Tignère,CM,7.3667,12.65,67.39,56,100,1.41,overcast clouds
259,Ludvika,SE,60.1496,15.1878,50.77,94,99,7.34,overcast clouds
260,Baker City,US,44.7749,-117.8344,33.51,90,100,12.66,overcast clouds
261,Mossamedes,AO,-15.1961,12.1522,68.5,85,87,2.66,overcast clouds
262,Kuybyshevskiy Zaton,RU,55.1593,49.1701,32.2,93,100,26.26,light snow
263,Neuquén,AR,-38.9516,-68.0591,63.1,13,0,11.32,clear sky
264,Kahului,US,20.8947,-156.47,80.62,74,20,9.22,few clouds
265,Passagem Franca,BR,-6.1797,-43.7836,73.45,79,100,0.65,overcast clouds
266,Iqaluit,CA,63.7506,-68.5145,29.93,86,100,18.41,light snow
267,Pyaozerskiy,RU,65.8333,31.1667,28.49,96,76,0.74,broken clouds
268,‘Āhuimanu,US,21.4447,-157.8378,78.85,72,0,9.22,clear sky
269,Dalianwan,CN,39.0286,121.695,55.44,58,0,4.47,clear sky
270,Dwārka,IN,22.2394,68.9678,85.26,36,0,5.57,clear sky
271,Namatanai,PG,-3.6667,152.4333,84.04,71,93,1.9,light rain
272,Clyde River,CA,70.4692,-68.5914,25.03,93,100,21.85,light snow
273,Tagusao,PH,9.1924,117.8141,83.12,69,90,5.68,overcast clouds
274,Russell,US,32.3502,-85.1999,61.02,73,100,3.22,overcast clouds
275,Lyubytino,RU,58.8122,33.3922,39.9,99,100,2.51,overcast clouds
276,Puerto Madryn,AR,-42.7692,-65.0385,53.82,61,7,6.71,clear sky
277,Lata,PT,40.1629,-8.3327,43.92,92,31,3.78,scattered clouds
278,Maţāy,EG,28.419,30.7792,63.84,71,0,7.18,clear sky
279,Marzuq,YE,14.4,46.4667,72.05,40,0,0.96,clear sky
280,Meulaboh,ID,4.1363,96.1285,82.67,74,87,3.18,overcast clouds
281,Ampanihy,MG,-24.7,44.75,77.83,65,53,9.33,broken clouds
282,Esim,GH,4.8699,-2.2405,77.22,86,9,2.71,clear sky
283,Kailua,US,21.4022,-157.7394,79.14,72,0,9.22,clear sky
284,Baykit,RU,61.67,96.37,28.0,81,100,7.38,overcast clouds
285,Margate,GB,51.3813,1.3862,49.3,81,2,3.0,clear sky
286,Tommot,RU,58.9564,126.2925,15.64,87,100,7.0,overcast clouds
287,Rundu,NA,-17.9333,19.7667,71.71,64,100,2.24,overcast clouds
288,Ust'-Ordynskiy,RU,52.805,104.7508,29.59,30,22,2.68,few clouds
289,Farah,AF,32.5,62.5,72.81,21,61,2.57,broken clouds
290,Benguela,AO,-12.5763,13.4055,77.43,77,100,5.64,overcast clouds
291,Tigil',RU,57.8,158.6667,15.3,94,34,3.27,scattered clouds
292,Iguape,BR,-24.7081,-47.5553,61.5,90,100,18.61,overcast clouds
293,San Cristobal,VE,7.7669,-72.225,66.38,97,100,1.23,overcast clouds
294,Agropoli,IT,40.3469,14.9966,55.09,68,21,3.33,few clouds
295,Āsasa,ET,7.1,39.2,55.44,68,0,5.39,clear sky
296,Mwene-Ditu,CD,-7.0,23.45,66.06,91,100,4.63,overcast clouds
297,Vuktyl,RU,63.8567,57.3094,21.49,90,44,4.68,scattered clouds
298,Lishui,CN,28.4604,119.9103,68.16,64,98,2.13,overcast clouds
299,Waddān,LY,29.1614,16.139,59.05,69,43,2.66,scattered clouds
300,Diré,ML,12.2833,-10.9667,71.67,56,60,1.92,broken clouds
301,Balkanabat,TM,39.5108,54.3671,54.95,46,4,3.6,clear sky
302,Zheleznodorozhnyy,RU,55.7503,38.0042,35.37,97,99,3.22,light snow
303,Road Town,VG,18.4167,-64.6167,80.69,77,3,15.73,clear sky
304,Teshie,GH,5.5836,-0.1072,78.55,84,5,5.61,light rain
305,Durham,US,36.0335,-78.8664,60.53,89,75,0.0,broken clouds
